"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  9","Freeman, Scott N.","30"
"Washoe","GER-WADS 7521 (MP)","Supreme Court Justice, Seat D","FUMO, Ozzie","9"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  2","Grossman, Dixie","24"
"Washoe","GER-WADS 7521 (MP)","State Assembly, District 32","Hansen, Alexis M.","41"
"Washoe","GER-WADS 7521 (MP)","U.S. Representative in Congress, District 2","HANSEN, JANINE","0"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 15","HARDY, DAVID A.","25"
"Washoe","GER-WADS 7521 (MP)","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","34"
"Washoe","GER-WADS 7521 (MP)","President and Vice President of the United States","JORGENSEN, JO","1"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","23"
"Washoe","GER-WADS 7521 (MP)","President and Vice President of the United States","None Of These Candidates","1"
"Washoe","GER-WADS 7521 (MP)","Supreme Court Justice, Seat B","None Of These Candidates","7"
"Washoe","GER-WADS 7521 (MP)","Court of Appeals Judge, Department 3","None Of These Candidates","8"
"Washoe","GER-WADS 7521 (MP)","Supreme Court Justice, Seat D","None Of These Candidates","6"
"Washoe","GER-WADS 7521 (MP)","Supreme Court Justice, Seat B","Pickering, Kristina","42"
"Washoe","GER-WADS 7521 (MP)","State Assembly, District 32","POVILAITIS, PAULA","15"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","24"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","25"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","26"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","24"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","30"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","17"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","32"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","26"
"Washoe","GER-WADS 7521 (MP)","President and Vice President of the United States","TRUMP, DONALD J.","39"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","26"
"Washoe","GER-WADS 7521 (MP)","District Court Judge, District 2, Department  7","WALKER, EGAN K.","30"
"Washoe","GER-WADS 7522 (MP)","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","43"
"Washoe","GER-WADS 7522 (MP)","U.S. Representative in Congress, District 2","Amodei, Mark E.","43"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","62"
"Washoe","GER-WADS 7522 (MP)","President and Vice President of the United States","BIDEN, JOSEPH R.","43"
"Washoe","GER-WADS 7522 (MP)","President and Vice President of the United States","BLANKENSHIP, DON","0"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","60"
"Washoe","GER-WADS 7522 (MP)","Court of Appeals Judge, Department 3","Bulla, Bonnie","36"
"Washoe","GER-WADS 7522 (MP)","Court of Appeals Judge, Department 3","BUSH, SUSAN","26"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","33"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","47"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","61"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  9","Freeman, Scott N.","61"
"Washoe","GER-WADS 7522 (MP)","Supreme Court Justice, Seat D","FUMO, Ozzie","43"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  2","Grossman, Dixie","57"
"Washoe","GER-WADS 7522 (MP)","State Assembly, District 32","Hansen, Alexis M.","44"
"Washoe","GER-WADS 7522 (MP)","U.S. Representative in Congress, District 2","HANSEN, JANINE","4"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 15","HARDY, DAVID A.","55"
"Washoe","GER-WADS 7522 (MP)","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","30"
"Washoe","GER-WADS 7522 (MP)","President and Vice President of the United States","JORGENSEN, JO","2"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","57"
"Washoe","GER-WADS 7522 (MP)","Court of Appeals Judge, Department 3","None Of These Candidates","10"
"Washoe","GER-WADS 7522 (MP)","Supreme Court Justice, Seat D","None Of These Candidates","6"
"Washoe","GER-WADS 7522 (MP)","Supreme Court Justice, Seat B","None Of These Candidates","7"
"Washoe","GER-WADS 7522 (MP)","President and Vice President of the United States","None Of These Candidates","2"
"Washoe","GER-WADS 7522 (MP)","Supreme Court Justice, Seat B","Pickering, Kristina","63"
"Washoe","GER-WADS 7522 (MP)","State Assembly, District 32","POVILAITIS, PAULA","44"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","58"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","41"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","31"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","56"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","30"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","50"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","59"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","56"
"Washoe","GER-WADS 7522 (MP)","President and Vice President of the United States","TRUMP, DONALD J.","44"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","56"
"Washoe","GER-WADS 7522 (MP)","District Court Judge, District 2, Department  7","WALKER, EGAN K.","61"
"Washoe","GER-WADS 7531 (MP)","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","4"
"Washoe","GER-WADS 7531 (MP)","U.S. Representative in Congress, District 2","Amodei, Mark E.","20"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","18"
"Washoe","GER-WADS 7531 (MP)","President and Vice President of the United States","BIDEN, JOSEPH R.","4"
"Washoe","GER-WADS 7531 (MP)","President and Vice President of the United States","BLANKENSHIP, DON","0"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","18"
"Washoe","GER-WADS 7531 (MP)","Court of Appeals Judge, Department 3","Bulla, Bonnie","3"
"Washoe","GER-WADS 7531 (MP)","Court of Appeals Judge, Department 3","BUSH, SUSAN","13"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","7"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","10"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","18"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  9","Freeman, Scott N.","18"
"Washoe","GER-WADS 7531 (MP)","Supreme Court Justice, Seat D","FUMO, Ozzie","4"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department  2","Grossman, Dixie","17"
"Washoe","GER-WADS 7531 (MP)","State Assembly, District 32","Hansen, Alexis M.","21"
"Washoe","GER-WADS 7531 (MP)","U.S. Representative in Congress, District 2","HANSEN, JANINE","1"
"Washoe","GER-WADS 7531 (MP)","District Court Judge, District 2, Department 15","HARDY, DAVID A.","15"
