"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","RENO-VERDI 1029","President and Vice President of the United States","BIDEN, JOSEPH R.","724"
"Washoe","RENO-VERDI 1029","President and Vice President of the United States","BLANKENSHIP, DON","3"
"Washoe","RENO-VERDI 1029","Reno City Council, Ward 1","Brekhus, Jenny","557"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","890"
"Washoe","RENO-VERDI 1029","Court of Appeals Judge, Department 3","Bulla, Bonnie","530"
"Washoe","RENO-VERDI 1029","Court of Appeals Judge, Department 3","BUSH, SUSAN","384"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","343"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","662"
"Washoe","RENO-VERDI 1029","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","904"
"Washoe","RENO-VERDI 1029","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","598"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","954"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  9","Freeman, Scott N.","906"
"Washoe","RENO-VERDI 1029","Supreme Court Justice, Seat D","FUMO, Ozzie","498"
"Washoe","RENO-VERDI 1029","State Senate, District 15","Gansert, Heidi S.","695"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  2","Grossman, Dixie","879"
"Washoe","RENO-VERDI 1029","U.S. Representative in Congress, District 2","HANSEN, JANINE","27"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 15","HARDY, DAVID A.","852"
"Washoe","RENO-VERDI 1029","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","565"
"Washoe","RENO-VERDI 1029","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","641"
"Washoe","RENO-VERDI 1029","State Senate, District 15","JAUREGUI-JACKINS, WENDY","612"
"Washoe","RENO-VERDI 1029","President and Vice President of the United States","JORGENSEN, JO","9"
"Washoe","RENO-VERDI 1029","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","491"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","894"
"Washoe","RENO-VERDI 1029","University Board of Regents, District 10","MELCHER, KEVIN","454"
"Washoe","RENO-VERDI 1029","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","555"
"Washoe","RENO-VERDI 1029","President and Vice President of the United States","None Of These Candidates","18"
"Washoe","RENO-VERDI 1029","Court of Appeals Judge, Department 3","None Of These Candidates","212"
"Washoe","RENO-VERDI 1029","Supreme Court Justice, Seat D","None Of These Candidates","140"
"Washoe","RENO-VERDI 1029","Supreme Court Justice, Seat B","None Of These Candidates","178"
"Washoe","RENO-VERDI 1029","Supreme Court Justice, Seat B","Pickering, Kristina","911"
"Washoe","RENO-VERDI 1029","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","634"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","882"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","739"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","606"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","856"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","444"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","549"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","901"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","901"
"Washoe","RENO-VERDI 1029","State Assembly, District 25","Tolles, Jill","936"
"Washoe","RENO-VERDI 1029","President and Vice President of the United States","TRUMP, DONALD J.","606"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","853"
"Washoe","RENO-VERDI 1029","District Court Judge, District 2, Department  7","WALKER, EGAN K.","897"
"Washoe","RENO-VERDI 1029","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","WESNER, CRAIG","461"
"Washoe","RENO-VERDI 1031","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","318"
"Washoe","RENO-VERDI 1031","U.S. Representative in Congress, District 2","Amodei, Mark E.","314"
"Washoe","RENO-VERDI 1031","University Board of Regents, District 10","ARRASCADA, JOSEPH","315"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","448"
"Washoe","RENO-VERDI 1031","COUNTY COMMISSION, DISTRICT 1","BERKBIGLER, MARSHA","295"
"Washoe","RENO-VERDI 1031","President and Vice President of the United States","BIDEN, JOSEPH R.","359"
"Washoe","RENO-VERDI 1031","President and Vice President of the United States","BLANKENSHIP, DON","0"
"Washoe","RENO-VERDI 1031","Reno City Council, Ward 1","Brekhus, Jenny","236"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","439"
"Washoe","RENO-VERDI 1031","Court of Appeals Judge, Department 3","Bulla, Bonnie","269"
"Washoe","RENO-VERDI 1031","Court of Appeals Judge, Department 3","BUSH, SUSAN","181"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","147"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","311"
"Washoe","RENO-VERDI 1031","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","462"
"Washoe","RENO-VERDI 1031","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","368"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","472"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  9","Freeman, Scott N.","458"
"Washoe","RENO-VERDI 1031","Supreme Court Justice, Seat D","FUMO, Ozzie","227"
"Washoe","RENO-VERDI 1031","State Senate, District 15","Gansert, Heidi S.","339"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  2","Grossman, Dixie","449"
"Washoe","RENO-VERDI 1031","U.S. Representative in Congress, District 2","HANSEN, JANINE","13"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 15","HARDY, DAVID A.","427"
"Washoe","RENO-VERDI 1031","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","320"
"Washoe","RENO-VERDI 1031","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","340"
"Washoe","RENO-VERDI 1031","State Senate, District 15","JAUREGUI-JACKINS, WENDY","295"
"Washoe","RENO-VERDI 1031","President and Vice President of the United States","JORGENSEN, JO","7"
"Washoe","RENO-VERDI 1031","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","244"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","450"
"Washoe","RENO-VERDI 1031","University Board of Regents, District 10","MELCHER, KEVIN","232"
"Washoe","RENO-VERDI 1031","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","254"
"Washoe","RENO-VERDI 1031","Court of Appeals Judge, Department 3","None Of These Candidates","104"
"Washoe","RENO-VERDI 1031","Supreme Court Justice, Seat D","None Of These Candidates","55"
"Washoe","RENO-VERDI 1031","Supreme Court Justice, Seat B","None Of These Candidates","75"
"Washoe","RENO-VERDI 1031","President and Vice President of the United States","None Of These Candidates","8"
"Washoe","RENO-VERDI 1031","Supreme Court Justice, Seat B","Pickering, Kristina","468"
"Washoe","RENO-VERDI 1031","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","337"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","437"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","400"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","379"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","429"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","245"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","203"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","457"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","457"
"Washoe","RENO-VERDI 1031","State Assembly, District 25","Tolles, Jill","465"
"Washoe","RENO-VERDI 1031","President and Vice President of the United States","TRUMP, DONALD J.","278"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","431"
"Washoe","RENO-VERDI 1031","District Court Judge, District 2, Department  7","WALKER, EGAN K.","450"
"Washoe","RENO-VERDI 1031","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","WESNER, CRAIG","268"
"Washoe","RENO-VERDI 1032","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","302"
"Washoe","RENO-VERDI 1032","U.S. Representative in Congress, District 2","Amodei, Mark E.","239"
"Washoe","RENO-VERDI 1032","University Board of Regents, District 10","ARRASCADA, JOSEPH","218"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","381"
"Washoe","RENO-VERDI 1032","State Assembly, District 27","Benitez-Thompson, Teresa","342"
"Washoe","RENO-VERDI 1032","COUNTY COMMISSION, DISTRICT 1","BERKBIGLER, MARSHA","248"
"Washoe","RENO-VERDI 1032","President and Vice President of the United States","BIDEN, JOSEPH R.","331"
"Washoe","RENO-VERDI 1032","President and Vice President of the United States","BLANKENSHIP, DON","0"
"Washoe","RENO-VERDI 1032","Reno City Council, Ward 1","Brekhus, Jenny","250"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","385"
"Washoe","RENO-VERDI 1032","Court of Appeals Judge, Department 3","Bulla, Bonnie","213"
"Washoe","RENO-VERDI 1032","Court of Appeals Judge, Department 3","BUSH, SUSAN","157"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","124"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","279"
"Washoe","RENO-VERDI 1032","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","390"
"Washoe","RENO-VERDI 1032","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","249"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","402"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  9","Freeman, Scott N.","383"
"Washoe","RENO-VERDI 1032","Supreme Court Justice, Seat D","FUMO, Ozzie","208"
"Washoe","RENO-VERDI 1032","State Senate, District 15","Gansert, Heidi S.","252"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  2","Grossman, Dixie","382"
"Washoe","RENO-VERDI 1032","U.S. Representative in Congress, District 2","HANSEN, JANINE","12"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 15","HARDY, DAVID A.","371"
"Washoe","RENO-VERDI 1032","State Assembly, District 27","HAWN, BARB","209"
"Washoe","RENO-VERDI 1032","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","248"
"Washoe","RENO-VERDI 1032","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","305"
"Washoe","RENO-VERDI 1032","State Senate, District 15","JAUREGUI-JACKINS, WENDY","300"
"Washoe","RENO-VERDI 1032","President and Vice President of the United States","JORGENSEN, JO","5"
"Washoe","RENO-VERDI 1032","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","177"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","374"
"Washoe","RENO-VERDI 1032","University Board of Regents, District 10","MELCHER, KEVIN","224"
"Washoe","RENO-VERDI 1032","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","257"
"Washoe","RENO-VERDI 1032","Court of Appeals Judge, Department 3","None Of These Candidates","93"
"Washoe","RENO-VERDI 1032","Supreme Court Justice, Seat D","None Of These Candidates","52"
"Washoe","RENO-VERDI 1032","Supreme Court Justice, Seat B","None Of These Candidates","77"
"Washoe","RENO-VERDI 1032","President and Vice President of the United States","None Of These Candidates","9"
"Washoe","RENO-VERDI 1032","Supreme Court Justice, Seat B","Pickering, Kristina","394"
"Washoe","RENO-VERDI 1032","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","297"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","373"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","342"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","270"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","361"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","180"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","214"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","386"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","376"
"Washoe","RENO-VERDI 1032","President and Vice President of the United States","TRUMP, DONALD J.","219"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","356"
"Washoe","RENO-VERDI 1032","District Court Judge, District 2, Department  7","WALKER, EGAN K.","387"
"Washoe","RENO-VERDI 1032","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","WESNER, CRAIG","191"
"Washoe","RENO-VERDI 1033","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","540"
"Washoe","RENO-VERDI 1033","U.S. Representative in Congress, District 2","Amodei, Mark E.","388"
"Washoe","RENO-VERDI 1033","University Board of Regents, District 10","ARRASCADA, JOSEPH","522"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","631"
"Washoe","RENO-VERDI 1033","COUNTY COMMISSION, DISTRICT 1","BERKBIGLER, MARSHA","361"
"Washoe","RENO-VERDI 1033","President and Vice President of the United States","BIDEN, JOSEPH R.","609"
"Washoe","RENO-VERDI 1033","President and Vice President of the United States","BLANKENSHIP, DON","1"
"Washoe","RENO-VERDI 1033","Reno City Council, Ward 1","Brekhus, Jenny","420"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","649"
"Washoe","RENO-VERDI 1033","Court of Appeals Judge, Department 3","Bulla, Bonnie","374"
"Washoe","RENO-VERDI 1033","Court of Appeals Judge, Department 3","BUSH, SUSAN","275"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","252"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","542"
"Washoe","RENO-VERDI 1033","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","659"
"Washoe","RENO-VERDI 1033","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","479"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","674"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  9","Freeman, Scott N.","675"
"Washoe","RENO-VERDI 1033","Supreme Court Justice, Seat D","FUMO, Ozzie","423"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  2","Grossman, Dixie","626"
"Washoe","RENO-VERDI 1033","U.S. Representative in Congress, District 2","HANSEN, JANINE","18"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 15","HARDY, DAVID A.","607"
"Washoe","RENO-VERDI 1033","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","347"
"Washoe","RENO-VERDI 1033","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","578"
"Washoe","RENO-VERDI 1033","President and Vice President of the United States","JORGENSEN, JO","9"
"Washoe","RENO-VERDI 1033","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","304"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","634"
"Washoe","RENO-VERDI 1033","University Board of Regents, District 10","MELCHER, KEVIN","277"
"Washoe","RENO-VERDI 1033","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","424"
"Washoe","RENO-VERDI 1033","Court of Appeals Judge, Department 3","None Of These Candidates","158"
"Washoe","RENO-VERDI 1033","Supreme Court Justice, Seat D","None Of These Candidates","96"
"Washoe","RENO-VERDI 1033","Supreme Court Justice, Seat B","None Of These Candidates","99"
"Washoe","RENO-VERDI 1033","President and Vice President of the United States","None Of These Candidates","18"
"Washoe","RENO-VERDI 1033","State Assembly, District 24","Peters, Sarah","687"
"Washoe","RENO-VERDI 1033","Supreme Court Justice, Seat B","Pickering, Kristina","690"
"Washoe","RENO-VERDI 1033","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","550"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","628"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","530"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","424"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","606"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","249"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","414"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","647"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","640"
"Washoe","RENO-VERDI 1033","President and Vice President of the United States","TRUMP, DONALD J.","338"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","605"
"Washoe","RENO-VERDI 1033","District Court Judge, District 2, Department  7","WALKER, EGAN K.","640"
"Washoe","RENO-VERDI 1033","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","WESNER, CRAIG","330"
"Washoe","RENO-VERDI 1035","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","324"
"Washoe","RENO-VERDI 1035","U.S. Representative in Congress, District 2","Amodei, Mark E.","140"
"Washoe","RENO-VERDI 1035","University Board of Regents, District 10","ARRASCADA, JOSEPH","250"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","294"
"Washoe","RENO-VERDI 1035","COUNTY COMMISSION, DISTRICT 1","BERKBIGLER, MARSHA","124"
"Washoe","RENO-VERDI 1035","President and Vice President of the United States","BIDEN, JOSEPH R.","352"
"Washoe","RENO-VERDI 1035","President and Vice President of the United States","BLANKENSHIP, DON","3"
"Washoe","RENO-VERDI 1035","Reno City Council, Ward 1","Brekhus, Jenny","244"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","298"
"Washoe","RENO-VERDI 1035","Court of Appeals Judge, Department 3","Bulla, Bonnie","184"
"Washoe","RENO-VERDI 1035","Court of Appeals Judge, Department 3","BUSH, SUSAN","136"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","117"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","273"
"Washoe","RENO-VERDI 1035","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","301"
"Washoe","RENO-VERDI 1035","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","185"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","314"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  9","Freeman, Scott N.","297"
"Washoe","RENO-VERDI 1035","Supreme Court Justice, Seat D","FUMO, Ozzie","258"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  2","Grossman, Dixie","290"
"Washoe","RENO-VERDI 1035","U.S. Representative in Congress, District 2","HANSEN, JANINE","12"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 15","HARDY, DAVID A.","282"
"Washoe","RENO-VERDI 1035","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","116"
"Washoe","RENO-VERDI 1035","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","337"
"Washoe","RENO-VERDI 1035","President and Vice President of the United States","JORGENSEN, JO","7"
"Washoe","RENO-VERDI 1035","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","126"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","296"
"Washoe","RENO-VERDI 1035","University Board of Regents, District 10","MELCHER, KEVIN","119"
"Washoe","RENO-VERDI 1035","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","236"
"Washoe","RENO-VERDI 1035","Supreme Court Justice, Seat D","None Of These Candidates","49"
"Washoe","RENO-VERDI 1035","Court of Appeals Judge, Department 3","None Of These Candidates","75"
"Washoe","RENO-VERDI 1035","Supreme Court Justice, Seat B","None Of These Candidates","58"
"Washoe","RENO-VERDI 1035","President and Vice President of the United States","None Of These Candidates","5"
"Washoe","RENO-VERDI 1035","State Assembly, District 24","Peters, Sarah","378"
"Washoe","RENO-VERDI 1035","Supreme Court Justice, Seat B","Pickering, Kristina","325"
"Washoe","RENO-VERDI 1035","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","283"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","292"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","238"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","169"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","280"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","106"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","219"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","300"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","288"
"Washoe","RENO-VERDI 1035","President and Vice President of the United States","TRUMP, DONALD J.","122"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","279"
"Washoe","RENO-VERDI 1035","District Court Judge, District 2, Department  7","WALKER, EGAN K.","298"
"Washoe","RENO-VERDI 1035","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","WESNER, CRAIG","116"
"Washoe","RENO-VERDI 1036","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","433"
"Washoe","RENO-VERDI 1036","U.S. Representative in Congress, District 2","Amodei, Mark E.","187"
"Washoe","RENO-VERDI 1036","University Board of Regents, District 10","ARRASCADA, JOSEPH","289"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","384"
"Washoe","RENO-VERDI 1036","COUNTY COMMISSION, DISTRICT 1","BERKBIGLER, MARSHA","191"
"Washoe","RENO-VERDI 1036","President and Vice President of the United States","BIDEN, JOSEPH R.","462"
"Washoe","RENO-VERDI 1036","President and Vice President of the United States","BLANKENSHIP, DON","2"
"Washoe","RENO-VERDI 1036","Reno City Council, Ward 1","Brekhus, Jenny","329"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","379"
"Washoe","RENO-VERDI 1036","Court of Appeals Judge, Department 3","Bulla, Bonnie","241"
"Washoe","RENO-VERDI 1036","Court of Appeals Judge, Department 3","BUSH, SUSAN","184"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","182"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","374"
"Washoe","RENO-VERDI 1036","RENO MUNICIPAL COURT JUDGE, DEPARTMENT 1","DRAKULICH, GENE","378"
"Washoe","RENO-VERDI 1036","Reno City Council, Ward 1","DRAKULICH, JOHN ""JD""","240"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","413"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  9","Freeman, Scott N.","392"
"Washoe","RENO-VERDI 1036","Supreme Court Justice, Seat D","FUMO, Ozzie","335"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  2","Grossman, Dixie","395"
"Washoe","RENO-VERDI 1036","U.S. Representative in Congress, District 2","HANSEN, JANINE","17"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 15","HARDY, DAVID A.","373"
"Washoe","RENO-VERDI 1036","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","167"
"Washoe","RENO-VERDI 1036","COUNTY COMMISSION, DISTRICT 1","HILL, ALEXIS","432"
"Washoe","RENO-VERDI 1036","President and Vice President of the United States","JORGENSEN, JO","13"
"Washoe","RENO-VERDI 1036","RENO CITY COUNCIL, AT-LARGE","LORTON, GEORGE ""EDDIE""","143"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","394"
"Washoe","RENO-VERDI 1036","University Board of Regents, District 10","MELCHER, KEVIN","194"
"Washoe","RENO-VERDI 1036","SCHOOL BOARD TRUSTEE, DISTRICT G AT-LARGE","NICOLET, DIANE","329"
"Washoe","RENO-VERDI 1036","Court of Appeals Judge, Department 3","None Of These Candidates","110"
"Washoe","RENO-VERDI 1036","Supreme Court Justice, Seat D","None Of These Candidates","68"
"Washoe","RENO-VERDI 1036","Supreme Court Justice, Seat B","None Of These Candidates","126"
"Washoe","RENO-VERDI 1036","President and Vice President of the United States","None Of These Candidates","10"
"Washoe","RENO-VERDI 1036","State Assembly, District 24","Peters, Sarah","484"
"Washoe","RENO-VERDI 1036","Supreme Court Justice, Seat B","Pickering, Kristina","378"
"Washoe","RENO-VERDI 1036","RENO CITY COUNCIL, AT-LARGE","REESE, DEVON THOMAS","409"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","393"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","313"
"Washoe","RENO-VERDI 1036","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","211"
